basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-10,AQ016,21.20,42.16,14.06,7.17
2023-01-10,AQ017,9.17,37.83,9.70,7.23
2023-01-10,AQ018,26.56,29.15,26.57,19.75
2023-01-10,AQ019,17.26,50.02,13.61,14.66
2023-01-10,AQ020,15.42,52.80,11.68,6.44
2023-01-10,AQ021,7.53,56.75,10.59,6.05
2023-01-10,AQ022,26.73,35.14,14.62,7.64
2023-01-10,AQ023,39.46,17.32,19.27,12.53
2023-01-10,AQ024,10.52,64.47,8.02,4.78
2023-01-10,AQ025,31.18,40.35,14.18,11.22
2023-01-10,AQ026,12.87,64.10,5.67,3.14
2023-01-10,AQ027,14.68,50.70,6.12,4.28
2023-01-10,AQ028,21.11,50.43,12.23,9.19
2023-01-10,AQ029,7.25,65.20,13.79,10.92
2023-01-10,AQ030,20.97,21.14,12.38,11.61
2023-01-10,AQ031,23.28,40.02,11.59,6.75
2023-01-10,AQ032,6.45,49.86,9.13,8.46
2023-01-10,AQ033,18.04,43.05,12.47,9.78
2023-01-10,AQ034,12.76,30.63,11.52,9.69
2023-01-10,AQ035,4.75,57.73,4.08,2.23
2023-01-10,AQ036,11.54,23.40,19.99,16.14
2023-01-10,AQ037,17.60,30.47,11.41,8.54
2023-01-10,AQ038,6.59,48.98,9.48,8.54
2023-01-10,AQ039,18.85,24.90,22.92,17.93
2023-01-10,AQ040,13.15,36.01,18.10,15.98
2023-01-10,AQ041,9.84,36.58,6.55,5.78
2023-01-10,AQ042,8.49,34.96,11.83,9.88
2023-01-10,AQ043,12.16,53.29,11.90,9.63
2023-01-10,AQ044,24.99,42.79,20.71,17.51
